#SNR;mcs;nb_rb;TBS;rate;errors[0];trials[0];errors[1];trials[1];errors[2];trials[2];errors[3];trials[3]
0.000000;0;25;680;0.080952;102;102;80;102;43;80;0;43
0.200000;0;25;680;0.080952;102;102;85;102;39;85;0;39
0.400000;0;25;680;0.080952;102;102;77;102;31;77;0;31
0.600000;0;25;680;0.080952;101;102;59;101;16;59;0;16
0.800000;0;25;680;0.080952;101;102;58;101;18;58;0;18
1.000000;0;25;680;0.080952;100;107;60;100;11;60;0;11
1.200000;0;25;680;0.080952;100;106;51;100;9;51;0;9
1.400000;0;25;680;0.080952;100;109;45;100;10;45;0;10
1.600000;0;25;680;0.080952;100;112;38;100;4;38;0;4
1.800000;0;25;680;0.080952;100;119;29;100;1;29;0;1
2.000000;0;25;680;0.080952;100;122;24;100;4;24;0;4
2.200000;0;25;680;0.080952;100;126;29;100;6;29;0;6
2.400000;0;25;680;0.080952;100;154;28;100;5;28;0;5
2.600000;0;25;680;0.080952;100;160;9;100;1;9;0;1
2.800000;0;25;680;0.080952;86;200;11;86;1;11;0;1
3.000000;0;25;680;0.080952;50;200;3;50;0;3;0;0
3.200000;0;25;680;0.080952;25;200;1;25;0;1;0;0
3.400000;0;25;680;0.080952;14;200;0;14;0;0;0;0
3.600000;0;25;680;0.080952;16;200;3;16;0;3;0;0
3.800000;0;25;680;0.080952;13;200;0;13;0;0;0;0
4.000000;0;25;680;0.080952;7;200;1;7;0;1;0;0
4.200000;0;25;680;0.080952;3;200;0;3;0;0;0;0
4.400000;0;25;680;0.080952;3;200;0;3;0;0;0;0
4.600000;0;25;680;0.080952;4;200;0;4;0;0;0;0
4.800000;0;25;680;0.080952;7;200;0;7;0;0;0;0
5.000000;0;25;680;0.080952;2;200;0;2;0;0;0;0
5.200000;0;25;680;0.080952;0;200;0;0;0;0;0;0
