#SNR;mcs;nb_rb;TBS;rate;errors[0];trials[0];errors[1];trials[1];errors[2];trials[2];errors[3];trials[3]
0.000000;0;25;680;0.080952;100;100;85;100;46;85;0;46
0.200000;0;25;680;0.080952;100;100;80;100;40;80;0;40
0.400000;0;25;680;0.080952;100;100;68;100;23;68;0;23
0.600000;0;25;680;0.080952;100;100;78;100;34;78;0;34
0.800000;0;25;680;0.080952;98;100;62;98;16;62;0;16
1.000000;0;25;680;0.080952;95;100;50;95;16;50;0;16
1.200000;0;25;680;0.080952;95;100;49;95;15;49;0;15
1.400000;0;25;680;0.080952;92;100;38;92;10;38;0;10
1.600000;0;25;680;0.080952;87;100;31;87;8;31;0;8
1.800000;0;25;680;0.080952;85;100;23;85;4;23;0;4
2.000000;0;25;680;0.080952;83;100;30;83;6;30;0;6
2.200000;0;25;680;0.080952;76;100;16;76;1;16;0;1
2.400000;0;25;680;0.080952;55;100;14;55;1;14;0;1
2.600000;0;25;680;0.080952;35;100;6;35;1;6;0;1
2.800000;0;25;680;0.080952;23;100;3;23;0;3;0;0
3.000000;0;25;680;0.080952;14;100;1;14;0;1;0;0
3.200000;0;25;680;0.080952;10;100;0;10;0;0;0;0
3.400000;0;25;680;0.080952;7;100;0;7;0;0;0;0
3.600000;0;25;680;0.080952;5;100;0;5;0;0;0;0
3.800000;0;25;680;0.080952;5;100;0;5;0;0;0;0
4.000000;0;25;680;0.080952;6;100;1;6;0;1;0;0
4.200000;0;25;680;0.080952;0;100;0;0;0;0;0;0
