#SNR;mcs;nb_rb;TBS;rate;errors[0];trials[0];errors[1];trials[1];errors[2];trials[2];errors[3];trials[3]
0.000000;0;25;680;0.080952;5;5;5;5;4;5;0;4
0.200000;0;25;680;0.080952;5;5;4;5;2;4;0;2
0.400000;0;25;680;0.080952;5;5;4;5;3;4;0;3
0.600000;0;25;680;0.080952;5;5;4;5;1;4;0;1
0.800000;0;25;680;0.080952;5;5;3;5;1;3;0;1
1.000000;0;25;680;0.080952;5;5;2;5;1;2;0;1
1.200000;0;25;680;0.080952;5;5;4;5;1;4;0;1
1.400000;0;25;680;0.080952;3;5;1;3;0;1;0;0
1.600000;0;25;680;0.080952;4;5;3;4;0;3;0;0
1.800000;0;25;680;0.080952;4;5;1;4;1;1;0;1
2.000000;0;25;680;0.080952;4;5;1;4;0;1;0;0
2.200000;0;25;680;0.080952;3;5;0;3;0;0;0;0
2.400000;0;25;680;0.080952;4;5;0;4;0;0;0;0
2.600000;0;25;680;0.080952;3;5;1;3;0;1;0;0
2.800000;0;25;680;0.080952;5;5;0;5;0;0;0;0
3.000000;0;25;680;0.080952;4;5;0;4;0;0;0;0
3.200000;0;25;680;0.080952;2;5;0;2;0;0;0;0
3.400000;0;25;680;0.080952;0;5;0;0;0;0;0;0
