SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
0.000000;0;680;0.000000;100;502;21;100;5;21;1;5;100
1.000000;0;680;0.000000;83;1000;6;83;1;6;0;1;83
2.000000;0;680;0.000000;24;1000;0;24;0;0;0;0;24
3.000000;0;680;0.000000;7;1000;0;7;0;0;0;0;7
